Semester,Section Number,Course Prefix,Course Number,Course Title,Course,Letter Grade,Count of letter grade,Department/Program
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",Other,1,Architecture
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",C,2,Architecture
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",B,3,Architecture
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",B+,3,Architecture
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",A-,3,Architecture
Summer 2011,70385,ARC,F310K,DESIGN I,"ARC-F310K: DESIGN I, Section no. 70385",A,4,Architecture
Summer 2011,70390,ARC,F311K,VISUAL COMMUNICATION I,"ARC-F311K: VISUAL COMMUNICATION I, Section no. 70390",Other,1,Architecture
Summer 2011,70390,ARC,F311K,VISUAL COMMUNICATION I,"ARC-F311K: VISUAL COMMUNICATION I, Section no. 70390",B+,4,Architecture
Summer 2011,70390,ARC,F311K,VISUAL COMMUNICATION I,"ARC-F311K: VISUAL COMMUNICATION I, Section no. 70390",A-,7,Architecture
Summer 2011,70390,ARC,F311K,VISUAL COMMUNICATION I,"ARC-F311K: VISUAL COMMUNICATION I, Section no. 70390",A,4,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",Other,1,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",D,1,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",C+,1,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",B,3,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",B+,2,Architecture
Summer 2011,70420,ARC,F368R,FOUR MASTERS OF MODERNISM,"ARC-F368R: FOUR MASTERS OF MODERNISM, Section no. 70420",A-,3,Architecture
Summer 2011,70430,ARC,F381R,DRAW BLOOD: ADVANCED DRAWING,"ARC-F381R: DRAW BLOOD: ADVANCED DRAWING, Section no. 70430",Other,1,Architecture
Summer 2011,70430,ARC,F381R,DRAW BLOOD: ADVANCED DRAWING,"ARC-F381R: DRAW BLOOD: ADVANCED DRAWING, Section no. 70430",B+,2,Architecture
Summer 2011,70430,ARC,F381R,DRAW BLOOD: ADVANCED DRAWING,"ARC-F381R: DRAW BLOOD: ADVANCED DRAWING, Section no. 70430",A,7,Architecture
Summer 2011,70435,ARC,F381R,PUB INTEREST DSGN PRACTICUM,"ARC-F381R: PUB INTEREST DSGN PRACTICUM, Section no. 70435",Other,3,Architecture
Summer 2011,70435,ARC,F381R,PUB INTEREST DSGN PRACTICUM,"ARC-F381R: PUB INTEREST DSGN PRACTICUM, Section no. 70435",A-,4,Architecture
Summer 2011,70435,ARC,F381R,PUB INTEREST DSGN PRACTICUM,"ARC-F381R: PUB INTEREST DSGN PRACTICUM, Section no. 70435",A,17,Architecture
Summer 2011,70440,ARC,F386M,BUILDING INFORMATION MODELING,"ARC-F386M: BUILDING INFORMATION MODELING, Section no. 70440",Other,1,Architecture
Summer 2011,70440,ARC,F386M,BUILDING INFORMATION MODELING,"ARC-F386M: BUILDING INFORMATION MODELING, Section no. 70440",B,1,Architecture
Summer 2011,70440,ARC,F386M,BUILDING INFORMATION MODELING,"ARC-F386M: BUILDING INFORMATION MODELING, Section no. 70440",B+,1,Architecture
Summer 2011,70440,ARC,F386M,BUILDING INFORMATION MODELING,"ARC-F386M: BUILDING INFORMATION MODELING, Section no. 70440",A-,2,Architecture
Summer 2011,70440,ARC,F386M,BUILDING INFORMATION MODELING,"ARC-F386M: BUILDING INFORMATION MODELING, Section no. 70440",A,12,Architecture
Summer 2011,70445,ARC,F386M,PUBLIC INTEREST DESIGN SEMINAR,"ARC-F386M: PUBLIC INTEREST DESIGN SEMINAR, Section no. 70445",Other,3,Architecture
Summer 2011,70445,ARC,F386M,PUBLIC INTEREST DESIGN SEMINAR,"ARC-F386M: PUBLIC INTEREST DESIGN SEMINAR, Section no. 70445",B+,2,Architecture
Summer 2011,70445,ARC,F386M,PUBLIC INTEREST DESIGN SEMINAR,"ARC-F386M: PUBLIC INTEREST DESIGN SEMINAR, Section no. 70445",A-,11,Architecture
Summer 2011,70445,ARC,F386M,PUBLIC INTEREST DESIGN SEMINAR,"ARC-F386M: PUBLIC INTEREST DESIGN SEMINAR, Section no. 70445",A,8,Architecture
Summer 2011,70455,ARC,F388R,FOUR MASTERS OF MODERNISM,"ARC-F388R: FOUR MASTERS OF MODERNISM, Section no. 70455",B,1,Architecture
Summer 2011,70455,ARC,F388R,FOUR MASTERS OF MODERNISM,"ARC-F388R: FOUR MASTERS OF MODERNISM, Section no. 70455",B+,2,Architecture
Summer 2011,70455,ARC,F388R,FOUR MASTERS OF MODERNISM,"ARC-F388R: FOUR MASTERS OF MODERNISM, Section no. 70455",A-,5,Architecture
Summer 2011,70455,ARC,F388R,FOUR MASTERS OF MODERNISM,"ARC-F388R: FOUR MASTERS OF MODERNISM, Section no. 70455",A,1,Architecture
Summer 2011,70475,ARC,W393,VISUAL COMMUNICATION,"ARC-W393: VISUAL COMMUNICATION, Section no. 70475",Other,1,Architecture
Summer 2011,70475,ARC,W393,VISUAL COMMUNICATION,"ARC-W393: VISUAL COMMUNICATION, Section no. 70475",B-,1,Architecture
Summer 2011,70475,ARC,W393,VISUAL COMMUNICATION,"ARC-W393: VISUAL COMMUNICATION, Section no. 70475",B+,3,Architecture
Summer 2011,70475,ARC,W393,VISUAL COMMUNICATION,"ARC-W393: VISUAL COMMUNICATION, Section no. 70475",A,5,Architecture
Summer 2011,70480,ARC,W394,ARCH DESIGN: VERTICAL STUDIO,"ARC-W394: ARCH DESIGN: VERTICAL STUDIO, Section no. 70480",Other,1,Architecture
Summer 2011,70480,ARC,W394,ARCH DESIGN: VERTICAL STUDIO,"ARC-W394: ARCH DESIGN: VERTICAL STUDIO, Section no. 70480",B-,1,Architecture
Summer 2011,70480,ARC,W394,ARCH DESIGN: VERTICAL STUDIO,"ARC-W394: ARCH DESIGN: VERTICAL STUDIO, Section no. 70480",B,1,Architecture
Summer 2011,70480,ARC,W394,ARCH DESIGN: VERTICAL STUDIO,"ARC-W394: ARCH DESIGN: VERTICAL STUDIO, Section no. 70480",B+,1,Architecture
Summer 2011,70480,ARC,W394,ARCH DESIGN: VERTICAL STUDIO,"ARC-W394: ARCH DESIGN: VERTICAL STUDIO, Section no. 70480",A,5,Architecture
Summer 2011,70485,ARC,W696,ADVANCED ARCHITECTURAL DESIGN,"ARC-W696: ADVANCED ARCHITECTURAL DESIGN, Section no. 70485",B+,1,Architecture
Summer 2011,70485,ARC,W696,ADVANCED ARCHITECTURAL DESIGN,"ARC-W696: ADVANCED ARCHITECTURAL DESIGN, Section no. 70485",A-,2,Architecture
Summer 2011,70485,ARC,W696,ADVANCED ARCHITECTURAL DESIGN,"ARC-W696: ADVANCED ARCHITECTURAL DESIGN, Section no. 70485",A,6,Architecture
Summer 2011,70555,ARC,S310L,DESIGN II,"ARC-S310L: DESIGN II, Section no. 70555",Other,2,Architecture
Summer 2011,70555,ARC,S310L,DESIGN II,"ARC-S310L: DESIGN II, Section no. 70555",B,1,Architecture
Summer 2011,70555,ARC,S310L,DESIGN II,"ARC-S310L: DESIGN II, Section no. 70555",B+,2,Architecture
Summer 2011,70555,ARC,S310L,DESIGN II,"ARC-S310L: DESIGN II, Section no. 70555",A-,6,Architecture
Summer 2011,70555,ARC,S310L,DESIGN II,"ARC-S310L: DESIGN II, Section no. 70555",A,4,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",Other,2,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",B-,1,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",B,3,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",B+,3,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",A-,1,Architecture
Summer 2011,70560,ARC,S311L,VISUAL COMMUNICATION II,"ARC-S311L: VISUAL COMMUNICATION II, Section no. 70560",A,5,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",Other,1,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",C+,1,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",B,1,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",B+,2,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",A-,9,Architecture
Summer 2011,70580,ARC,S386M,DIGTL FORM GENERATN/MANIPULATN,"ARC-S386M: DIGTL FORM GENERATN/MANIPULATN, Section no. 70580",A,2,Architecture
Summer 2011,70705,CRP,S383,ENVIR DISPUTE RESOLUTION,"CRP-S383: ENVIR DISPUTE RESOLUTION, Section no. 70705",B+,2,Community And Regional Planning
Summer 2011,70705,CRP,S383,ENVIR DISPUTE RESOLUTION,"CRP-S383: ENVIR DISPUTE RESOLUTION, Section no. 70705",A,5,Community And Regional Planning
Summer 2011,70720,CRP,S386,GEO INFO SYSTEMS IN PLANNING,"CRP-S386: GEO INFO SYSTEMS IN PLANNING, Section no. 70720",Other,3,Community And Regional Planning
Summer 2011,70720,CRP,S386,GEO INFO SYSTEMS IN PLANNING,"CRP-S386: GEO INFO SYSTEMS IN PLANNING, Section no. 70720",A-,1,Community And Regional Planning
